,Часть 1,Часть 2
4901,ощутимый,ущерб
4902,геометрическая,фигура
4903,демократическая,ценность
4904,геометрическая,прогрессия
4905,сахалинская,дорога
4906,соседний,регион
4907,саудовский,принц
4908,ошибочный,ход
4909,коррупционное,дело
4910,неблагоприятное,последствие
4911,начальная,позиция
4912,денежный,эквивалент
4913,депутатская,деятельность
4914,десантная,операция
4915,стрессовое,состояние
4916,народное,движение
4917,ядерное,вооружение
4918,национальный,центр
4919,народный,избранник
4920,автоматическая,линия
4921,самостоятельная,ценность
4922,народный,контроль
4923,социальный,фонд
4924,ядерный,университет
4925,нацистская,идеология
4926,десятичная,система
4927,социалистическая,демократия
4928,национальный,союз
4929,конфиденциальная,информация
4930,десятый,класс
4931,патерналистская,модель
4932,французский,социолог
4933,социалистическая,идеология
4934,патологический,процесс
4935,партийная,система
4936,партийная,политика
4937,короткая,вспышка
4938,стрелковое,оружие
4939,параллельный,мир
4940,футбольный,матч
4941,футбольная,команда
4942,состоятельный,человек
4943,парашютный,спорт
4944,депутатский,мандат
4945,депутатская,неприкосновенность
4946,близкая,больница
4947,парламентский,контроль
4948,близкое,заседание
4949,партийный,лидер
4950,партизанский,бизнес
4951,партизанская,война
4952,социальный,экстремизм
4953,народная,артистка
4954,нацистский,режим
4955,народное,волеизъявление
4956,партийная,жизнь
4957,коренной,народ
4958,партийный,комитет
4959,налоговый,инспектор
4960,небольшой,завод
4961,кремлёвский,кабинет
4962,краткий,срок
4963,соответствующая,поправка
4964,краткое,изложение
4965,краткий,визит
4966,спасательный,отряд
4967,красная,черта
4968,временный,характер
4969,красный,террор
4970,отправная,точка
4971,наземная,станция
4972,действительная,служба
4973,красный,море
4974,стратегический,анализ
4975,небольшая,сумма
4976,действующий,президент
4977,небольшой,рост
4978,авторитетная,организация
4979,небольшой,размер
4980,красное,знамя
4981,красная,звезда
4982,юный,лингвист
4983,германское,правительство
4984,наземный,комплекс
4985,краткосрочный,период
4986,биологическая,мембрана
4987,открытый,воздух
4988,открытая,дверь
4989,биологический,закон
4990,открытый,доступ
4991,холодная,погода
4992,холодное,оружие
4993,открытое,колесо
4994,надёжный,метод
4995,биологический,материал
4996,открытый,космос
4997,биологическая,проблема
4998,соответствующее,министерство
4999,биологический,объект
5000,холодное,время
5001,холодный,воздух
5002,невероятное,усилие
5003,биологическое,оружие
5004,открытое,письмо
5005,южный,остров
5006,деловая,активность
5007,оттоманская,империя
5008,соответствующая,статья
5009,костная,структура
5010,авторитарная,власть
5011,краеведческий,музей
5012,официальная,церковь
5013,демократический,процесс
5014,демократический,путь
5015,демократическое,развитие
5016,небольшой,заработок
5017,химическая,наука
5018,юридическая,консультация
5019,костный,возраст
5020,химическая,кастрация
5021,страховая,медицина
5022,очевидное,преимущество
5023,временное,взаимодействие
5024,свадебная,фотография
5025,демократическая,сила
5026,космическая,технология
5027,демократическая,страна
5028,космическая,техника
5029,налоговая,амнистия
5030,официальное,сообщение
5031,стратегическое,направление
5032,официальный,источник
5033,битый,поле
5034,небольшая,партия
5035,красивое,слово
5036,официальный,визит
5037,официальная,делегация
5038,официальная,запись
5039,официальный,запрет
5040,благодарственная,оплата
5041,небольшое,отверстие
5042,демографическая,проблема
5043,химическая,связь
5044,геоцентрическая,система
5045,благая,цель
5046,стратегическое,решение
5047,основная,нагрузка
5048,демократическая,легитимность
5049,химическая,структура
5050,авторитарная,модернизация
5051,официальный,сайт
5052,крайняя,мера
5053,детальный,анализ
5054,контрастное,изображение
5055,национальное,собрание
5056,французский,перевод
5057,первое,наблюдение
5058,яркий,образ
5059,первая,нить
5060,первый,номер
5061,социальный,порядок
5062,первый,образец
5063,финансовый,показатель
5064,финансовая,поддержка
5065,финансовая,пирамида
5066,генеральный,конструктор
5067,финансовое,отношение
5068,первая,партия
5069,финансовое,обеспечение
5070,финансовое,нарушение
5071,яркий,свет
5072,социальное,поведение
5073,первый,плод
5074,компьютерная,томография
5075,божия,мать
5076,финансовый,инструмент
5077,первое,покорение
5078,научный,мир
5079,научная,модель
5080,финансовая,ситуация
5081,научный,совет
5082,восточная,вершина
5083,научный,прорыв
5084,научный,продукт
5085,первый,корабль
5086,научная,программа
5087,первый,космонавт
5088,первый,круг
5089,первая,ласточка
5090,социальная,программа
5091,конечный,потребитель
5092,первая,любовь
5093,первая,медаль
5094,финансовая,сфера
5095,финансовое,средства
5096,первая,модель
5097,социальное,животное
5098,финансовое,состояние
5099,рыбная,ловля
5100,настоящая,машина
5101,финансовое,затруднение
5102,первое,полугодие
5103,гашёная,известь
5104,гематологический,центр
5105,первый,робот
5106,наукоемкий,продукт
5107,первый,сборник
5108,натуральное,число
5109,первый,симптом
5110,первая,система
5111,филологический,факультет
5112,социальное,обязательство
5113,социальное,обслуживание
5114,компактный,кабинет
5115,философская,проблема
5116,первое,сообщение
5117,насыщенный,жир
5118,первый,станок
5119,насущная,необходимость
5120,социальный,лифт
5121,дипломатическое,отношение
5122,дипломная,работа
5123,социальная,мобильность
5124,первый,ремень
5125,гедонистический,индекс
5126,финансовое,дело
5127,русский,фильм
5128,первое,правительство
5129,восстановительная,работа
5130,первый,представитель
5131,первый,президент
5132,первая,премия
5133,восстановительный,процесс
5134,финансовый,аналитик
5135,русский,человек
5136,первый,проект
5137,первое,путешествие
5138,первый,результат
5139,социальный,пакет
5140,социальное,отношение
5141,первая,работа
5142,научная,база
5143,русская,усадьба
5144,комплексная,реформа
5145,комплексное,развитие
5146,первая,революция
5147,социальная,ориентация
5148,первый,контакт
5149,конкретная,группа
5150,конкретное,действие
5151,национальный,интерес
5152,сакраментальный,вопрос
5153,детская,площадка
5154,бобслейная,трасса
5155,социалистическая,система
5156,строительный,бум
5157,национальная,команда
5158,первоначальный,проект
5159,первоочередная,задача
5160,строительная,компания
5161,австралийский,доллар
5162,консервная,банка
5163,восточный,фронт
5164,конкурентная,разведка
5165,конкурентная,оплата
5166,социальная,связь
5167,детское,учреждение
5168,национальное,движение
5169,рядовой,сотрудник
5170,национальное,государство
5171,строительный,рынок
5172,французская,армия
5173,национальная,лига
5174,богатый,купец
5175,пензенская,область
5176,национальная,революция
5177,национальная,принадлежность
5178,детский,год
5179,строгое,правило
5180,детская,жизнь
5181,национальная,премия
5182,конструкторское,решение
5183,конструктивное,сотрудничество
5184,национальная,политика
5185,народный,суд
5186,национальный,лидер
5187,строгая,система
5188,близлежащий,пункт
5189,пенсионная,реформа
5190,конституционная,реформа
5191,конституционный,принцип
5192,самодельное,устройство
5193,первичная,дыра
5194,национальная,особенность
5195,народное,творчество
5196,дефицитный,товар
5197,японское,войска
5198,конкретное,дело
5199,фирменный,знак
5200,первая,женщина
5201,национальная,ассоциация
5202,первый,закон
5203,социальное,равенство
5204,конкретная,мера
5205,научная,школа
5206,боев,дух
5207,боева,единица
5208,научная,цель
5209,научная,фантастика
5210,научное,учреждение
5211,боева,заслуга
5212,первое,издание
5213,первая,инстанция
5214,боев,корабль
5215,авиационная,бомба
5216,научная,сфера
5217,структурная,реформа
5218,боева,операция
5219,первый,епископ
5220,первый,дивизион
5221,строительная,фирма
5222,авиационная,федерация
5223,формальное,определение
5224,богатый,опыт
5225,рядовой,горожанин
5226,национальный,вопрос
5227,социалистическая,экономика
5228,первый,врач
5229,генетическая,основа
5230,первый,выпуск
5231,восточная,провинция
5232,восточное,побережье
5233,первое,выступление
5234,рыночный,эксперимент
5235,первый,глава
5236,первый,гол
5237,рыночное,условие
5238,дешёвый,кредит
5239,конкретный,пример
5240,богословское,образование
5241,первая,десятка
5242,агитационный,материал
5243,официальная,причина
5244,отечественное,хозяйство
5245,крупный,вуз
5246,главная,беда
5247,данный,принцип
5248,главный,балетмейстер
5249,мрачная,картина
5250,данная,система
5251,хорошая,форма
5252,круговая,порука
5253,круговое,движение
5254,мудрое,руководство
5255,эффективный,инструмент
5256,острая,недостаточность
5257,данная,статья
5258,острая,нехватка
5259,острое,ощущение
5260,эффективное,использование
5261,эффективный,контракт
5262,круглосуточный,режим
5263,административный,орган
5264,крупная,группа
5265,двойная,анестезия
5266,столичный,клуб
5267,крупная,партия
5268,незаконное,действие
5269,хроническая,боль
5270,хроническая,болезнь
5271,хромосферная,вспышка
5272,сельская,идиллия
5273,особый,энтузиазм
5274,сельский,житель
5275,селекторное,совещание
5276,крупный,нефтепроизводитель
5277,этническое,происхождение
5278,независимая,система
5279,этническая,чистка
5280,секретная,служба
5281,независимая,подвеска
5282,крупный,застройщик
5283,крупный,завод
5284,острый,угол
5285,крошечный,станок
5286,ответная,мера
5287,данная,тема
5288,отдельная,группа
5289,гималайский,стиль
5290,двадцатый,год
5291,музыкальное,училище
5292,критическая,отметка
5293,всемирная,паутина
5294,критическая,масса
5295,хорошее,отношение
5296,двигательная,ступень
5297,отдельная,квартира
5298,всемирное,наследие
5299,всемирный,кризис
5300,недолгое,время
5301,отдельное,лицо
5302,кристаллический,алюмосиликат
5303,специальная,аппаратура
5304,отдельное,государство
5305,отдельный,вопрос
5306,отдельная,бригада
5307,отдалённое,будущее
5308,административное,давление
5309,ответный,сигнал
5310,административная,власть
5311,ответственное,лицо
5312,гипсовая,форма
5313,специальное,вооружение
5314,кровеносный,сосуд
5315,музыкальный,мир
5316,всемирный,центр
5317,сокрушительное,поражение
5318,хороший,продукт
5319,отделочный,материал
5320,солдатская,слава
5321,специальная,бригада
5322,хороший,пример
5323,особое,условие
5324,крупный,план
5325,московский,патриархат
5326,московский,зоопарк
5327,основное,содержание
5328,основной,способ
5329,основное,средство
5330,дальнейшее,повышение
5331,эритроцитная,масса
5332,основная,страна
5333,царская,власть
5334,основное,усилие
5335,дальнейшее,совершенствование
5336,основная,функция
5337,худший,случай
5338,дальнейший,шаг
5339,московское,объединение
5340,бесконечный,ряд
5341,дальний,конец
5342,основная,система
5343,сердечная,мышца
5344,берлинский,стена
5345,всесоюзная,партконференция
5346,основной,недостаток
5347,культурная,интеграция
5348,дальнейшая,жизнь
5349,нейтронный,физика
5350,серебряная,медаль
5351,основное,положение
5352,энциклопедический,словарь
5353,главная,идея
5354,основная,роль
5355,основное,правило
5356,цветная,капуста
5357,московская,группа
5358,дальнейшее,исследование
5359,основной,признак
5360,академическое,звание
5361,куйбышевское,водохранилище
5362,московский,патриарх
5363,неизвестный,человек
5364,особая,сфера
5365,неизвестная,причина
5366,современный,ученый
5367,неземной,дар
5368,крупная,собственность
5369,крупная,сила
5370,данный,документ
5371,сельскохозяйственная,земля
5372,крупный,регион
5373,крупный,размер
5374,особый,режим
5375,этническая,группа
5376,особый,род
5377,современный,человек
5378,этнический,маркер
5379,сельский,совет
5380,особый,статус
5381,сельский,район
5382,мощная,поддержка
5383,специальное,исследование
5384,художественная,краска
5385,крупная,страна
5386,московский,театр
5387,неизвестный,преступник
5388,московское,правительство
5389,московский,реставратор
5390,московская,служба
5391,семейное,образование
5392,крупная,фирма
5393,семейный,бюджет
5394,особое,мнение
5395,незнакомый,человек
5396,крупный,теракт
5397,семейный,альбом
5398,крупное,тело
5399,современная,трактовка
5400,особая,острота
5401,современный,уровень
5402,особое,отношение
5403,криминальная,хроника
5404,международный,центр
5405,недавнее,заявление
5406,мягкий,климат
5407,хорошая,идея
5408,мясной,продукт
5409,солнечное,пятно
5410,двойная,связь
5411,биогеохимический,цикл
5412,свободная,профессия
5413,сдельный,плата
5414,отечественный,учебник
5415,кремлёвский,проект
5416,сольный,карьера
5417,солнечный,диск
5418,мысленный,взор
5419,крепостной,труд
5420,крестьянское,хозяйство
5421,всемирная,игра
5422,геттингенский,университет
5423,священный,обряд
5424,отдельный,представитель
5425,двойной,стандарт
5426,отдельная,отрасль
5427,мягкая,мера
5428,негативное,явление
5429,бешеная,деньги
5430,отдельный,элемент
5431,бетонный,стена
5432,сольное,пение
5433,солнечная,ориентация
5434,мысленный,эксперимент
5435,святое,дело
5436,отдельная,статья
5437,странный,образ
5438,отдельная,тема
5439,солнечная,электростанция
5440,недовольная,группа
5441,отдельное,производство
5442,свободный,рынок
5443,гавайский,остров
5444,свободное,средства
5445,хорошее,место
5446,двуногий,робот
5447,специализированная,система
5448,бесчисленный,остров
5449,негативная,тенденция
5450,агрессивное,поведение
5451,главный,директор
5452,главный,начальник
5453,германское,право
5454,советский,спелеолог
5455,глубоководная,губка
5456,собственное,положение
5457,генеральный,секретариат
5458,европейский,банк
5459,равная,часть
5460,германское,общество
5461,единый,порыв
5462,глюонный,поле
5463,единая,позиция
5464,единственный,выход
5465,социальное,государство
5466,собственная,ошибка
5467,социальная,демагогия
5468,европейская,безопасность
5469,районный,руководитель
5470,современный,унитаз
5471,современная,мишень
5472,германское,племя
5473,различное,свойство
5474,генеральная,репетиция
5475,собственная,кровь
5476,европейский,аэропорт
5477,глупый,человек
5478,генеральная,прокуратура
5479,генеральный,план
5480,современная,методика
5481,собственная,мощь
5482,собственный,организм
5483,главный,университет
5484,разный,вуз
5485,разный,мир
5486,разумный,предел
5487,советский,образец
5488,глубокое,сожаление
5489,главный,организатор
5490,социальная,база
5491,разумный,закон
5492,германский,крейсер
5493,европейский,континент
5494,соответствующее,решение
5495,европейский,кризис
5496,различное,направление
5497,главная,героиня
5498,глубокий,след
5499,европейская,культура
5500,разная,задача
5501,собственный,принцип
5502,разная,ориентация
5503,разрушительное,усилие
5504,единая,классификация
5505,единый,кандидат
5506,разрушительная,сила
5507,собственная,программа
5508,германская,компания
5509,собственное,производство
5510,генетическая,особенность
5511,европейское,направление
5512,современное,человечество
5513,германский,народ
5514,глубокое,удовлетворение
5515,разумное,предложение
5516,главная,новость
5517,единое,правило
5518,современная,форма
5519,сольный,альбом
5520,разное,мнение
5521,разная,игра
5522,собственный,критерий
5523,генетический,алгоритм
5524,разная,модель
5525,разное,название
5526,единственный,критерий
5527,германская,нация
5528,разумная,цивилизация
5529,современный,центр
5530,собственный,почин
5531,генетический,код
5532,глубокая,старость
5533,железнодорожный,мост
5534,генетический,материал
5535,главный,орган
5536,главная,улица
5537,гладенькая,дорожка
5538,радиационный,пояс
5539,дыхательная,волна
5540,различный,взгляд
5541,главное,дело
5542,главный,хранитель
5543,гнилая,капуста
5544,социальный,контракт
5545,собственное,действие
5546,единое,общество
5547,единое,определение
5548,германский,университет
5549,евпаторийский,уезд
5550,советский,режим
5551,еврейский,дом
5552,современный,смысл
5553,геморрагический,диатез
5554,современный,препарат
5555,еврейское,золото
5556,современное,представление
5557,различный,институт
5558,еврейское,имущество
5559,различный,интерес
5560,различное,событие
5561,раменский,район
5562,главный,зал
5563,современная,политика
5564,собственное,детство
5565,екатеринбургская,губерния
5566,геморрагический,инсульт
5567,еженедельный,выпуск
5568,главный,компонент
5569,ракетная,установка
5570,главная,интрига
5571,современная,ситуация
5572,главный,фаворит
5573,социальный,конфликт
5574,равная,единица
5575,единая,нация
5576,социальный,механизм
5577,соответствующий,договор
5578,единое,образование
5579,современный,режим
5580,разный,источник
5581,главный,урок
5582,германский,эксперт
5583,собственный,вывод
5584,равный,образ
5585,главный,инспектор
5586,главное,условие
5587,соответствующая,комиссия
5588,единственный,игрок
5589,ранний,период
5590,голландская,колония
5591,екатерининский,зал
5592,германская,фирма
5593,голландский,живописец
5594,современный,рост
5595,различный,звук
5596,главный,институт
5597,различная,сторона
5598,годовой,плата
5599,равная,цена
5600,социальная,защищенность
5601,еврейская,собственность
5602,единственное,достоинство
5603,современное,образование
5604,современное,оборудование
5605,равное,условие
5606,ракетное,войска
5607,ракетный,аппарат
5608,собственный,карман
5609,социальный,заказ
5610,гигантское,здание
5611,главная,дорога
5612,единый,кулак
5613,гигантский,комплекс
5614,генеральное,наступление
5615,соответствующий,орган
5616,главный,храм
5617,железнодорожный,вокзал
5618,собственная,квартира
5619,райская,птица
5620,еврейский,текст
5621,германский,рейх
5622,различная,машина
5623,различная,сила
5624,различное,воздействие
5625,железнодорожное,сообщение
5626,главный,лозунг
5627,разная,конструкция
5628,собственное,желание
5629,современный,социалист
5630,ельцинская,эпоха
5631,годовая,зарплата
5632,гендерная,стратегия
5633,ракетный,удар
5634,ёмкое,пространство
5635,генеалогическое,древо
5636,соответствующая,база
5637,разная,комбинация
5638,главная,забота
5639,социальная,иерархия
5640,собственный,закон
5641,собственный,замысел
5642,собственное,заявление
5643,разный,конец
5644,гигантская,гэс
5645,единственная,категория
5646,соответствующее,оборудование
5647,главная,елка
5648,собственное,имя
5649,генеральная,ассамблея
5650,единый,организм
5651,современное,открытие
5652,современная,страна
5653,европейский,народ
5654,современный,читатель
5655,собственное,прошлое
5656,собственная,цель
5657,развитый,капитализм
5658,европейский,чиновник
5659,собственный,чемпионат
5660,собственная,шкура
5661,совместная,резолюция
5662,гипотетическая,ситуация
5663,советская,традиция
5664,единственный,регион
5665,естественный,прирост
5666,соседний,двор
5667,глобальная,экономика
5668,глобальная,экология
5669,европейская,экономика
5670,единый,шанс
5671,глобальная,температура
5672,географический,регион
5673,европейский,эксперт
5674,естественная,потребность
5675,совместная,программа
5676,сокрушительный,провал
5677,совместная,операция
5678,разная,порода
5679,совершенное,почтение
5680,гидравлический,домкрат
5681,главный,свидетель
5682,глубинный,процесс
5683,главная,система
5684,собственная,фирма
5685,соединительный,провод
5686,единственный,спонсор
5687,собственная,точка
5688,естественный,распад
5689,разговорный,язык
5690,единая,точка
5691,разговорный,жанр
5692,главный,аргумент
5693,разнообразная,форма
5694,глубокая,вакансия
5695,современный,автомобиль
5696,европейская,ценность
5697,солнечный,коллектор
5698,главная,угроза
5699,главный,ресурс
5700,собственная,установка
5701,советский,тип
5702,соревновательный,альпинизм
5703,сосудистая,стенка
5704,сосудистое,заболевание
5705,сороковой,год
5706,сознательный,выбор
5707,сострадательный,человек
5708,геополитическая,катастрофа
5709,единая,цепь
5710,совершенная,строгость
5711,геодезическая,практика
5712,различное,условие
5713,советский,боец
5714,главный,труд
5715,главный,трейдер
5716,единственное,предприятие
5717,соседняя,комната
5718,совместная,группа
5719,советская,водка
5720,геометрическая,форма
5721,главный,тормоз
5722,главный,сотрудник
5723,египетская,столица
5724,единственное,ограничение
5725,геополитический,интерес
5726,соседний,дом
5727,ежегодный,прирост
5728,глобальное,похолодание
5729,гидрометаллургическое,производство
5730,разное,предположение
5731,соседняя,деревня
5732,гидротехническое,сооружение
5733,глобальный,масштаб
5734,главный,спонсор
5735,единственная,партия
5736,различное,обстоятельство
5737,советское,шампанское
5738,соседний,подъезд
5739,развитый,рынок
5740,главное,событие
5741,различный,объект
5742,разное,проявление
5743,солдатская,форма
5744,совершенная,техника
5745,разная,проблема
5746,совестливый,человек
5747,солидная,фирма
5748,единый,язык
5749,гидрогенизационный,катализ
5750,гипертрофированная,роль
5751,единственная,природа
5752,советская,жизнь
5753,геологическая,карта
5754,соседняя,улица
5755,различный,параметр
5756,солигорское,водохранилище
5757,советский,тыл
5758,советская,женщина
5759,советский,альпинист
5760,совместное,дело
5761,разный,диапазон
5762,главная,трудность
5763,советский,аппарат
5764,различная,организация
5765,советская,федерация
5766,сотовый,оператор
5767,советское,искусство
5768,современная,аппаратура
5769,собственный,сайт
5770,радикальный,элемент
5771,различный,путь
5772,собственная,сеть
5773,современный,испанский
5774,современный,экономист
5775,жаркое,солнце
5776,главное,внимание
5777,различный,элемент
5778,гламурная,субстанция
5779,современный,язык
5780,разгромная,критика
5781,единое,движение
5782,различное,происхождение
5783,жаркая,дискуссия
5784,гламурная,экзотика
5785,радостный,крик
5786,различный,язык
5787,глубокое,нарушение
5788,гениальный,ученый
5789,разный,перевод
5790,собственный,сок
5791,главный,переговорщик
5792,главный,персонаж
5793,разный,фактор
5794,глубокий,корень
5795,радикальная,трансформация
5796,социалистическая,собственность
5797,разгонный,блок
5798,единая,единица
5799,собственное,расследование
5800,железнодорожное,войска
5801,разная,отрасль
5802,разный,этап
5803,естественная,вещь
5804,различное,устройство
5805,разное,животное
5806,естественный,вопрос
5807,главная,тенденция
5808,гениальное,изобретение
5809,раздвижная,дверь
5810,современная,копия
5811,главный,вход
5812,современная,карта
5813,глубокое,понимание
5814,советский,спортсмен
5815,различный,участок
5816,современный,капитализм
5817,европейский,образец
5818,железнодорожный,вагон
5819,современная,история
5820,радикальный,режим
5821,различный,район
5822,глубокая,переработка
5823,разный,участок
5824,германский,город
5825,современное,значение
5826,современная,жизнь
5827,соответствующий,глава
5828,собственная,судьба
5829,социалистическая,мысль
5830,глубокая,дифференциация
5831,естественный,результат
5832,социалистический,лагерь
5833,социалистическая,идея
5834,собственная,тень
5835,единый,список
5836,главный,приз
5837,главный,архитектор
5838,гламуроемкое,производство
5839,современный,бобслей
5840,единственное,устройство
5841,единственное,средство
5842,разная,стадия
5843,социалистический,выбор
5844,советская,спортсменка
5845,германская,армия
5846,социалистическая,база
5847,различное,оборудование
5848,разная,специальность
5849,географическая,наука
5850,собственная,территория
5851,современная,база
5852,главное,препятствие
5853,глубокий,интерес
5854,собственный,стиль
5855,размерный,ряд
5856,социалистическое,прошлое
5857,естественный,ход
5858,разный,угол
5859,естественное,стремление
5860,главный,бухгалтер
5861,различный,проект
5862,соответствующий,указ
5863,соответствующая,установка
5864,соответствующее,учреждение
5865,единый,союз
5866,главный,предмет
5867,собственное,средство
5868,европейская,столица
5869,собственный,стандарт
5870,различная,проблема
5871,естественное,состояние
5872,современный,волчок
5873,разный,жанр
5874,современная,война
5875,естественный,ресурс
5876,германское,войска
5877,социалистическое,отношение
5878,различная,причина
5879,европейская,станция
5880,дискриминационное,положение
5881,дырочная,проводимость
5882,северное,полушарие
5883,данная,страна
5884,сегодняшняя,проблема
5885,российский,гость
5886,данный,сценарий
5887,сегодняшнее,поколение
5888,данная,технология
5889,данный,факт
5890,данная,функция
5891,сегодняшнее,заседание
5892,данный,экспонат
5893,российское,гражданство
5894,северокорейский,лидер
5895,дачный,домик
5896,долгий,перерыв
5897,долгое,лето
5898,долгая,история
5899,российская,демократия
5900,российская,деньги
5901,долгая,жизнь
5902,северный,фланг
5903,долгая,дорога
5904,двадцатилетняя,давность
5905,северная,территория
5906,долгий,день
5907,северная,река
5908,сегодняшняя,система
5909,данная,служба
5910,долгий,путь
5911,российский,врач
5912,российская,больница
5913,данная,категория
5914,данная,культура
5915,сексуальный,характер
5916,данный,метод
5917,данная,модель
5918,сексуальное,меньшинство
5919,данная,область
5920,сексуальная,жизнь
5921,долгов,кризис
5922,данное,отношение
5923,данный,сектор
5924,секретная,корпорация
5925,российский,газ
5926,долгий,ящик
5927,секретный,документ
5928,секретный,гриф
5929,долгий,срок
5930,российская,гильдия
5931,данный,повод
5932,долгая,работа
5933,седьмая,часть
5934,данный,район
5935,северный,регион
5936,северный,олень
5937,сельский,труд
5938,российское,заведение
5939,российский,класс
5940,российский,клуб
5941,российская,коллега
5942,свободная,продажа
5943,докризисная,модель
5944,двухэтажный,дом
5945,свободный,полет
5946,двухэтажное,здание
5947,свободное,плавание
5948,докладная,записка
5949,двухэтажное,общежитие
5950,дождливый,сезон
5951,свободное,обсуждение
5952,свободный,мир
5953,дождева,резина
5954,российский,магазин
5955,свободное,место
5956,российская,мастерская
5957,свободная,конкуренция
5958,девичья,фамилия
5959,российская,машина
5960,девяностый,год
5961,свободная,зона
5962,довоенная,жизнь
5963,российский,мониторинг
5964,двухтысячный,год
5965,двухпроцентная,реформа
5966,свободная,технология
5967,двойной,сюрприз
5968,российский,закон
5969,северный,море
5970,севастопольская,улица
5971,российская,заявка
5972,российская,земля
5973,долгое,блуждание
5974,двойное,дно
5975,двойная,звезда
5976,священный,синод
5977,российский,институт
5978,документальное,подтверждение
5979,документальное,кино
5980,свободная,экономика
5981,святое,судилище
5982,святое,место
5983,российская,инфляция
5984,дворцовый,переворот
5985,двукратное,повышение
5986,двукратная,чемпионка
5987,двусторонний,процесс
5988,двухдневный,визит
5989,российский,капитализм
5990,доктринальный,взгляд
5991,своеобразный,генофонд
5992,российский,болельщик
5993,сельский,фельдшер
5994,довоенное,время
5995,серое,лицо
5996,ровное,место
5997,должное,требование
5998,должная,статья
5999,серьёзная,перемена
6000,серьёзное,отношение
6001,должный,смысл
6002,серьёзная,опасность
6003,серьёзное,опасение
6004,серьёзное,ограничение
6005,серьёзное,обвинение
6006,должное,решение
6007,должный,процесс
6008,серьёзная,критика
6009,густое,облако
6010,густая,трава
6011,должное,правило
6012,серьёзное,достижение
6013,серьёзная,деньги
6014,серьёзное,дело
6015,серьёзный,вопрос
6016,серьёзная,вещь
6017,давосский,форум
6018,дагестанский,лидер
6019,родное,место
6020,робототехническое,зрение
